8.2313 	INFO 	Keyboard events cleared
8.2305 	EXP 	fixation: autoDraw = False
8.2305 	EXP 	grating: autoDraw = True
8.5294 	EXP 	grating: autoDraw = False
8.7702 	DATA 	Keypress: right
8.7796 	EXP 	fixation: autoDraw = False
8.7796 	EXP 	grating: autoDraw = False
8.7796 	EXP 	grating: ori = 4.0
8.7796 	EXP 	fixation: autoDraw = True
9.2809 	INFO 	Keyboard events cleared
9.2801 	EXP 	fixation: autoDraw = False
9.2801 	EXP 	grating: autoDraw = True
9.5797 	EXP 	grating: autoDraw = False
9.8024 	DATA 	Keypress: right
9.8127 	EXP 	fixation: autoDraw = False
9.8127 	EXP 	grating: autoDraw = False
9.8127 	EXP 	grating: ori = -3.0
9.8127 	EXP 	fixation: autoDraw = True
10.3144 	INFO 	Keyboard events cleared
10.3135 	EXP 	fixation: autoDraw = False
10.3135 	EXP 	grating: autoDraw = True
10.6131 	EXP 	grating: autoDraw = False
10.8860 	DATA 	Keypress: left
10.8965 	EXP 	fixation: autoDraw = False
10.8965 	EXP 	grating: autoDraw = False
10.8965 	EXP 	grating: ori = 3.0
10.8965 	EXP 	fixation: autoDraw = True
11.3981 	INFO 	Keyboard events cleared
11.3973 	EXP 	fixation: autoDraw = False
11.3973 	EXP 	grating: autoDraw = True
11.6968 	EXP 	grating: autoDraw = False
11.9037 	DATA 	Keypress: right
11.9132 	EXP 	fixation: autoDraw = False
11.9132 	EXP 	grating: autoDraw = False
11.9132 	EXP 	grating: ori = -3.0
11.9132 	EXP 	fixation: autoDraw = True
12.4142 	INFO 	Keyboard events cleared
12.4134 	EXP 	fixation: autoDraw = False
12.4134 	EXP 	grating: autoDraw = True
12.7123 	EXP 	grating: autoDraw = False
12.9164 	DATA 	Keypress: left
12.9466 	EXP 	fixation: autoDraw = False
12.9466 	EXP 	grating: autoDraw = False
12.9466 	EXP 	grating: ori = -2.0
12.9466 	EXP 	fixation: autoDraw = True
13.4468 	INFO 	Keyboard events cleared
13.4463 	EXP 	fixation: autoDraw = False
13.4463 	EXP 	grating: autoDraw = True
13.7462 	EXP 	grating: autoDraw = False
14.0033 	DATA 	Keypress: left
14.0130 	EXP 	fixation: autoDraw = False
14.0130 	EXP 	grating: autoDraw = False
